UK ID,UK Sanction Programme,UK Name,EU Name Match,EU ID,Multi Score,Label
6932,ISIL (Da'esh) and Al-Qaida,"{'Umar', 'Takfiri', 'Filistini', 'Umr', 'Othman', 'Qatada', 'Ismail', 'Abu', 'Uthman', 'Al', 'Samman', 'Mahmoud', 'Mohammed', 'Omar'}","{'Umar', 'Umr', 'Filistini', 'Takfiri', 'Othman', 'Qatada', 'Ismail', 'Uthman', 'Abu', 'Al', 'Samman', 'Mahmoud', 'Mohammed', 'Omar'}",836,98,match
6936,Afghanistan,"{'Hidayatullah', 'Turab', 'Abu'}","{'Hidayatullah', 'Turab', 'Abu'}",829,96,match
6941,Afghanistan,"{'Abdul', 'Rahman', 'Agha'}","{'Abdul', 'Rahman', 'Agha'}",513,98,match
6942,Afghanistan,"{'Mohammad', 'Sayed', 'Azim', 'Agha'}","{'Azim', 'Agha', 'Sayed', 'Mohammad', 'Saheb'}",515,97,match
6943,Afghanistan,"{'Ghousuddin', 'Ghias', 'Ghiassouddine', 'Agha', 'Ghiasuddin', 'Sayed', 'Sayyed', 'Ghayasudin'}","{'Ghousuddin', 'Ghias', 'Ghiassouddine', 'Agha', 'Ghiasuddin', 'Sayed', 'Sayyed', 'Ghayasudin'}",516,98,match
6944,ISIL (Da'esh) and Al-Qaida,"{'Amin', 'Haq', 'Ul', 'Khan', 'Al', 'Saam', 'Muhammad'}","{'Amin', 'Haq', 'Ul', 'Al', 'Khan', 'Dr', 'Saam', 'Muhammad'}",529,94,match
6946,Afghanistan,"{'Shukoor', 'Akhunzada', 'Ahmad', 'Akhund', 'Zada', 'Akhundzada', 'Jan'}","{'Shukoor', 'Akhunzada', 'Ahmad', 'Akhund', 'Zada', 'Akhundzada', 'Jan'}",619,97,match
6947,Afghanistan,"{'Mohammad', 'Ahmadi'}","{'Mohammad', 'Ahmadi'}",517,85,preliminary match
6951,Afghanistan,"{'Ahmed', 'Akhund', 'Akhundzada', 'Wazir', 'Jan', 'Haji'}","{'Ahmad', 'Ahmed', 'Akhund', 'Akhundzada', 'Wazir', 'Jan', 'Haji'}",521,96,match
6952,Afghanistan,"{'Akhund', 'Attiqullah'}","{'Akhund', 'Attiqullah'}",523,85,preliminary match
6953,Afghanistan,"{'Dad', 'Matin', 'Akhund', 'Shahidwror', 'Allah', 'Allahdad'}","{'Dad', 'Matin', 'Akhund', 'Shahidwror', 'Allah', 'Allahdad'}",524,97,match
6954,Afghanistan,"{'Mohammad', 'Akhund', 'Abbas'}","{'Mohammad', 'Akhund', 'Abbas'}",526,99,match
6955,Afghanistan,"{'Mohammad', 'Akhund', 'Essa'}","{'Mohammad', 'Akhund', 'Essa'}",522,99,match
6956,Afghanistan,"{'Akhund', 'Yar', 'Ullah', 'Mohammad', 'Obaidullah', 'Ubaidullah', 'Obaid'}","{'Akhund', 'Yar', 'Ullah', 'Mohammed', 'Obaidullah', 'Ubaidullah', 'Obaid'}",525,96,match
6962,ISIL (Da'esh) and Al-Qaida,"{'Fawwaz', 'Khaled', 'Abdulrahman', 'H', 'Khalil', 'Khalik', 'Abu', 'A', 'Fauwaz', 'Rahman', 'Hamd', 'Al', 'Fawaz', 'Khalid', 'Abd'}","{'Al', 'Fawaz', 'Khalid', 'Khalik', 'Bd', 'Fawwaz', 'Lrhmn', 'Khalil', 'Abu', 'Fauwaz', 'Rahman', 'Hmd', 'Lfwz', 'Khaled', 'Abdulrahman', 'H', 'Khld', 'A', 'Hamd', 'Abd'}",923,95,match
6973,ISIL (Da'esh) and Al-Qaida,"{'Abdullah', 'Ahmed', 'Abu', 'Hamdi', 'Al', 'Hamati', 'Sadiq', 'Mohammad', 'Makki', 'Asim', 'Ahdal', 'Muhammad', 'Mohamed'}","{'Abdullah', 'Muhammad', 'Ahmed', 'Ahdal', 'Abu', 'Al', 'Hamdi', 'Mohammad', 'Hamati', 'Asim', 'Sadiq', 'Makki', 'Mohamed'}",528,96,match
6974,ISIL (Da'esh) and Al-Qaida,"{'Ahmad', 'Hijazi', 'Shahid', 'Ri', 'Moroccan', 'Muhammad', 'Abu', 'Rashid', 'American', 'Hasan', 'Raed', 'The', 'Maghribi', 'Al', 'Amriki', 'M', 'Hawen', 'Ad'}","{'Ahmad', 'Hijazi', 'Shahid', 'Ri', 'Moroccan', 'Muhammad', 'The', 'Hasan', 'Al', 'American', 'Maghribi', 'Rashid', 'Abu', 'Raed', 'Amriki', 'M', 'Hawen', 'Ad'}",604,96,match
6994,Counter-Terrorism (International),"{'Sheikh', 'Khalid', 'Mohammed'}","{'Chalil', 'Sheikh', 'Muhammad', 'Sejk', 'Schejk', 'Khalid', 'Hanafi'}",151409,90,match
